20120418,Nguyen Tien Dat,20CTT4,nu,26/3/2002,11315967,
20120420,Ho Xuan Quang,20CTT4,nu,6/7/2002,12332218,
20120421,Le Ngoc Tuan,20CTT4,nam,31/10/2002,83238231,
20120422,Nguyen Thi Anh Tuyet,20CTT4,nam,22/4/2002,41786701,
20120423,Ngo Trong Tin,20CTT4,nu,25/2/2002,80205572,
20120424,Duong Khanh An,20CTT4,nu,4/11/2002,29750423,
20120425,Pham Trong An,20CTT4,nam,14/7/2002,25858244,
20120426,Dao Duy Anh,20CTT4,nu,1/4/2002,61418098,
20120427,Le Nhut Anh,20CTT4,nu,24/4/2002,27364289,
20120428,Nguyen Lam Que Anh,20CTT4,nu,18/8/2002,61315203,
20120429,Nguyen Quoc Anh,20CTT4,nam,11/5/2002,57492857,
20120430,Dang Duc Ba,20CTT4,nam,24/7/2002,54185737,
20120431,To Tran Son Ba,20CTT4,nu,4/1/2002,41740170,
20120433,Ho Duy Bao,20CTT4,nam,8/8/2002,46610582,
20120434,Tran Gia Bao,20CTT4,nam,4/1/2002,93016350,
20120435,Le Thi Ngoc Bich,20CTT4,nam,26/2/2002,51309218,
20120436,Pham Phuoc Binh,20CTT4,nam,19/8/2002,66797132,
20120437,Tran Khac Binh,20CTT4,nu,23/9/2002,93879507,
20120438,Dao Van Canh,20CTT4,nam,16/4/2002,69417065,
20120439,Hoang Van Cau,20CTT4,nam,21/5/2002,58236255,
20120440,Le Tran Bao Chau,20CTT4,nu,26/1/2002,44811122,
20120441,Nguyen Dinh Chien,20CTT4,nam,5/7/2002,69016356,
20120442,Nguyen Huu Chinh,20CTT4,nam,6/8/2002,90078637,
20120443,Nguyen Tan Chu,20CTT4,nam,23/12/2002,42619873,
20120444,Nguyen Chi Cong,20CTT4,nu,20/8/2002,68134031,
20120445,Vo Quang Cong,20CTT4,nu,28/12/2002,89422660,
20120446,Nguyen Dinh Cuong,20CTT4,nu,14/12/2002,40712649,
20120447,Trinh Quoc Cuong,20CTT4,nam,4/3/2002,77665231,
20120448,Nguyen Kong Dai,20CTT4,nu,31/7/2002,88068600,
20120449,Tran Trong Dai,20CTT4,nam,8/1/2002,43465006,
20120450,Pham Huu Dan,20CTT4,nam,5/1/2002,48792976,
20120451,Bui Van Danh,20CTT4,nam,29/12/2002,60504853,
20120452,Dinh Viet Danh,20CTT4,nam,16/11/2002,90915511,
20120454,Le Cong Dat,20CTT4,nu,15/10/2002,16424959,
20120455,Phan Duy Dat,20CTT4,nam,7/1/2002,17128415,
20120456,Le Phuoc Don,20CTT4,nu,12/3/2002,24137958,
20120457,Tran Han Du,20CTT4,nam,21/1/2002,16947295,
20120458,Ho Si Duc,20CTT4,nam,3/11/2002,81597119,
20120459,Nguyen Van Dung,20CTT4,nu,25/5/2002,39333504,
20120460,Le Nguyen Hai Duong,20CTT4,nam,31/5/2002,87588398,
20120461,Le Nguyen Duy,20CTT4,nu,2/11/2002,30911878,
20120462,Nguyen Hoang Duy,20CTT4,nu,6/2/2002,72462455,
20120463,Nguyen Le Duy,20CTT4,nam,22/8/2002,17826540,
20120464,Van Hoang Gia,20CTT4,nam,17/9/2002,31104455,
20120465,Ha Thi Huong Giang,20CTT4,nam,6/12/2002,48463760,
20120466,Tran Thi Thu Ha,20CTT4,nam,9/6/2002,56888284,
20120467,Nguyen Phuoc Hai,20CTT4,nam,13/9/2002,76296053,
20120468,Nguyen Van Hai,20CTT4,nu,24/10/2002,31471174,
20120469,Nguyen Gia Hao,20CTT4,nam,20/9/2002,62223417,
20120470,Nguyen Van Hao,20CTT4,nam,22/5/2002,75083261,
